State Code,District Code,Area Name,Total/ Rural/ Urban,Adolescent and youth categories,Total Population - Persons,Total Population - Males,Total Population - Females,Scheduled Caste - Persons,Scheduled Tribe - Persons,Scheduled Tribe - Males,Illiiterates - Total - Persons,Illiiterates - Total - Males,Illiiterates - Total - Females,Main Worker - Agricultural labourers - Persons
0,0,INDIA,Total,All Ages,1210854977,623270258,587584719,201378372,104545716,52547215,447216165,188506636,258709529,86168706
0,0,INDIA,Total,10-14,132709212,69418835,63290377,23456295,12729223,6503374,11745768,5389155,6356613,1108998
0,0,INDIA,Total,15-19,120526449,63982396,56544053,20903396,10544207,5388101,13457548,5635187,7822361,6170041
0,0,INDIA,Total,20-24,111424222,57584693,53839529,18828886,9382986,4621520,18679492,6467026,12212466,10521664
0,0,INDIA,Total,Adolescent (10-19),253235661,133401231,119834430,44359691,23273430,11891475,25203316,11024342,14178974,7279039
0,0,INDIA,Total,Youth (15-24),231950671,121567089,110383582,39732282,19927193,10009621,32137040,12102213,20034827,16691705
0,0,INDIA,Rural,All Ages,833748852,427781058,405967794,153850848,94083844,47263733,350955017,146419684,204535333,80960135
0,0,INDIA,Rural,10-14,96804494,50488158,46316336,18464173,11530030,5888480,9297640,4166798,5130842,1062856
0,0,INDIA,Rural,15-19,83902472,44570557,39331915,15824418,9371963,4788803,10677042,4280811,6396231,5873813
0,0,INDIA,Rural,20-24,73835046,38138662,35696384,13803393,8279625,4076029,15077525,4963696,10113829,9982153
0,0,INDIA,Rural,Adolescent (10-19),180706966,95058715,85648251,34288591,20901993,10677283,19974682,8447609,11527073,6936669
0,0,INDIA,Rural,Youth (15-24),157737518,82709219,75028299,29627811,17651588,8864832,25754567,9244507,16510060,15855966
0,0,INDIA,Urban,All Ages,377106125,195489200,181616925,47527524,10461872,5283482,96261148,42086952,54174196,5208571
0,0,INDIA,Urban,10-14,35904718,18930677,16974041,4992122,1199193,614894,2448128,1222357,1225771,46142
0,0,INDIA,Urban,15-19,36623977,19411839,17212138,5078978,1172244,599298,2780506,1354376,1426130,296228
0,0,INDIA,Urban,20-24,37589176,19446031,18143145,5025493,1103361,545491,3601967,1503330,2098637,539511
0,0,INDIA,Urban,Adolescent (10-19),72528695,38342516,34186179,10071100,2371437,1214192,5228634,2576733,2651901,342370
0,0,INDIA,Urban,Youth (15-24),74213153,38857870,35355283,10104471,2275605,1144789,6382473,2857706,3524767,835739
1,0,State - JAMMU & KASHMIR (01),Total,All Ages,12541302,6640662,5900640,924991,1493299,776257,5474069,2375991,3098078,159519
1,0,State - JAMMU & KASHMIR (01),Total,10-14,1413853,744855,668998,101117,198643,104192,170793,71946,98847,1968
1,0,State - JAMMU & KASHMIR (01),Total,15-19,1237462,640362,597100,97563,146774,77298,167302,55411,111891,8144
1,0,State - JAMMU & KASHMIR (01),Total,20-24,1160913,603578,557335,92420,122840,62228,236770,74478,162292,17716
1,0,State - JAMMU & KASHMIR (01),Total,Adolescent (10-19),2651315,1385217,1266098,198680,345417,181490,338095,127357,210738,10112
1,0,State - JAMMU & KASHMIR (01),Total,Youth (15-24),2398375,1243940,1154435,189983,269614,139526,404072,129889,274183,25860
1,0,State - JAMMU & KASHMIR (01),Rural,All Ages,9108060,4774477,4333583,751026,1406833,730075,4360110,1882728,2477382,141304
1,0,State - JAMMU & KASHMIR (01),Rural,10-14,1097236,575511,521725,84272,188653,98780,143105,58549,84556,1841
1,0,State - JAMMU & KASHMIR (01),Rural,15-19,926108,477098,449010,79402,137486,72375,141092,44012,97080,7426
1,0,State - JAMMU & KASHMIR (01),Rural,20-24,827361,423292,404069,73987,114631,57863,197423,59389,138034,16001
1,0,State - JAMMU & KASHMIR (01),Rural,Adolescent (10-19),2023344,1052609,970735,163674,326139,171155,284197,102561,181636,9267
1,0,State - JAMMU & KASHMIR (01),Rural,Youth (15-24),1753469,900390,853079,153389,252117,130238,338515,103401,235114,23427
1,0,State - JAMMU & KASHMIR (01),Urban,All Ages,3433242,1866185,1567057,173965,86466,46182,1113959,493263,620696,18215
1,0,State - JAMMU & KASHMIR (01),Urban,10-14,316617,169344,147273,16845,9990,5412,27688,13397,14291,127
1,0,State - JAMMU & KASHMIR (01),Urban,15-19,311354,163264,148090,18161,9288,4923,26210,11399,14811,718
1,0,State - JAMMU & KASHMIR (01),Urban,20-24,333552,180286,153266,18433,8209,4365,39347,15089,24258,1715
1,0,State - JAMMU & KASHMIR (01),Urban,Adolescent (10-19),627971,332608,295363,35006,19278,10335,53898,24796,29102,845
1,0,State - JAMMU & KASHMIR (01),Urban,Youth (15-24),644906,343550,301356,36594,17497,9288,65557,26488,39069,2433
